"Account Name","Opportunity Name","Fiscal Period","Next Step","Type","Deal Velocity","Monthly Deal Value (Gross Profit)","Age","Appraisal Start Date","Close Date","Opportunity Owner","Lead Source Category"
"Oral Genome","Oral Genome","Q1-2021","","Commercial Velocity - New Business","20.00","20065","20.0000000000","","1/12/2021","Alex Serna","Inbound"
"Blendily","Blendily","Q1-2021","","Commercial Velocity - New Business","72.00","1000","72.0000000000","","1/31/2021","Alex Serna","Other"
"UVé Pro Inc","Uve Pro","Q1-2021","","Commercial Velocity - New Business","-307.00","10000","0.0000000000","","1/1/2021","Alex Serna","Outbound"
"Elevated trading","Elevated Trading","Q1-2021","","Commercial Velocity - New Business","80.00","1000","80.0000000000","","1/31/2021","Alex Serna","Outbound"
"Porch Apothecary","Porch Apothecary","Q1-2021","","Commercial Velocity - New Business","84.00","1000","84.0000000000","","1/1/2021","Alex Serna","Outbound"
"Miyoko's Creamery","Miyokos Website Redesign","Q1-2021","","Commercial Velocity - New Business","136.00","5000","136.0000000000","","1/31/2021","Alex Serna","Outbound"
"Pulp Pantry","Pulp Pantry","Q1-2021","","Commercial Velocity - New Business","246.00","1000","246.0000000000","","1/29/2021","Alex Serna","Outbound"
"Haylie Pomroy","Haylie Pomroy-","Q1-2021","","Commercial Velocity - New Business","18.00","11944","18.0000000000","","1/26/2021","Brittany Arnold","Channel Partner"
"Ambreesh","Ambreesh Cosmetics","Q1-2021","","Commercial Velocity - New Business","35.00","8122","35.0000000000","","1/14/2021","Brittany Arnold","Inbound"
"JuneShine","Juneshine","Q1-2021","","Commercial Velocity - New Business","154.00","15000","154.0000000000","","1/31/2021","Connor Sanner","Inbound"
"Meatless Farms","Meatless Farms","Q1-2021","","Private Equity - Marketing Deal","11.00","22716","11.0000000000","","1/18/2021","Connor Sanner","Outbound"
"Herve Ledger","Herve Ledger","Q1-2021","","Commercial Velocity - New Business","169.00","1000","169.0000000000","","1/1/2021","Connor Sanner","Outbound"
"Allivet","Allivet","Q1-2021","","Commercial Velocity - New Business","233.00","5000","641.0000000000","","1/1/2021","Connor Sanner","Outbound"
"Osceola Capital Management LLC","Revelation Pharmacy","Q1-2021","","Strategic Accounts - New Business","-5.00","4038","0.0000000000","","1/20/2021","Corey Eulas","Channel Partner"
"Course Report","Course Report","Q1-2021","","Strategic Accounts - New Business","0.00","12103","0.0000000000","","1/7/2021","Corey Eulas","Channel Partner"
"Pool Calculator","Pool Calculator (Content Project - 2021)","Q1-2021","","Strategic Accounts - New Business","14.00","12000","14.0000000000","","1/1/2021","Corey Eulas","Channel Partner"
"XO Group","XO Group (Wedding Wire)","Q1-2021","","Strategic Accounts - New Business","31.00","55860","31.0000000000","","1/18/2021","Corey Eulas","Channel Partner"
"Silver Lake","SilverLake Due Diligence","Q1-2021","","Strategic Accounts - New Business","63.00","40000","63.0000000000","","1/1/2021","Corey Eulas","Channel Partner"
"Bally","Bally","Q1-2021","","Strategic Accounts - New Business","76.00","8192","76.0000000000","","1/14/2021","Corey Eulas","Channel Partner"
"Laura Moon Ref","Alloy","Q1-2021","","Strategic Accounts - New Business","88.00","19487","88.0000000000","","1/26/2021","Corey Eulas","Channel Partner"
"ThriveWorks","ThriveWorks","Q1-2021","","Strategic Accounts - New Business","91.00","30000","499.0000000000","","1/1/2021","Corey Eulas","Channel Partner"
"Alma","Alma","Q1-2021","","Strategic Accounts - New Business","102.00","7000","102.0000000000","","1/1/2021","Corey Eulas","Channel Partner"
"MercerAdvisors","MercerAdvisors","Q1-2021","","Strategic Accounts - New Business","119.00","15000","119.0000000000","","1/1/2021","Corey Eulas","Channel Partner"
"Key Path","KeyPath Education (SEO, Content, Links, PPC)","Q1-2021","","Strategic Accounts - New Business","188.00","16427","188.0000000000","","1/5/2021","Hans Tveten","Channel Partner"
"Peatos - Snack It Forward","Peatos - Snack It Forward - Paid Social Full Service","Q1-2021","","Rapid Growth Brands - New Business","1.00","8750","1.0000000000","","1/19/2021","Jake Mehani","Channel Partner"
"Casper","Casper","Q1-2021","","Strategic Accounts - New Business","-6.00","25670","0.0000000000","","1/7/2021","Jeff Mason","Channel Partner"
"Skylar Fragrances","Skylar Fragrances","Q1-2021","","Rapid Growth Brands - New Business","-8.00","13333","0.0000000000","","1/11/2021","Jeff Mason","Outbound"
"Rain + Bow","Rain + Bow (Social Method)","Q1-2021","","Rapid Growth Brands - New Business","0.00","13333","0.0000000000","","1/18/2021","Jeff Mason","Outbound"
"Three Ships Beauty","Three Ships Beauty","Q1-2021","","Brand Strategy - New Business","0.00","7644","0.0000000000","","1/13/2021","Kira Tirshfield","Channel Partner"
"R6 Distillery","R6 Distillery","Q1-2021","","Brand Strategy - New Business","27.00","9460","27.0000000000","","1/18/2021","Kira Tirshfield","Channel Partner"
"Compostic","Compostic","Q1-2021","","Brand Strategy - New Business","98.00","6688","98.0000000000","","1/6/2021","Kira Tirshfield","Channel Partner"
"Savor","Savor Beauty PR","Q1-2021","","Brand Strategy - New Business","-1.00","7548","0.0000000000","","1/18/2021","Kira Tirshfield","Inbound"
