"Close Date","Account Name","Lead Source Category","Opportunity Name","Fiscal Period","Opportunity Owner","Next Step","Type","Monthly Gross Profit","Age","Appraisal Start Date","Total Value","Referral Partner"
"1/1/2021","Owls Brew","Outbound","Owl's Brew","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","7500","0.0000000000","","90000.00",""
"1/1/2021","Cirkul","Inbound","Cirkul","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","14700","60.0000000000","","176400.00",""
"1/6/2021","Priority Bicycles","Outbound","Priority Bicycles","Q1-2021","Pierre Le Veaux","","Private Equity","13900","3.0000000000","","13900.00",""
"1/6/2021","Compostic","Channel Partner","Compostic","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","6688","98.0000000000","","80256.00",""
"1/6/2021","Rishi Tea","Inbound","Rishi Tea & Botanicals","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","9555","2.0000000000","","114660.00",""
"1/7/2021","Course Report","Channel Partner","Course Report","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","12103","0.0000000000","","12103.00","Devin S Test Keller"
"1/7/2021","Casper","Channel Partner","Casper","Q1-2021","Jeff Mason","","Strategic Accounts - New Business","25670","0.0000000000","","25670.00",""
"1/11/2021","Kimball international Inc","Outbound","Kimball","Q1-2021","Universal Sales Rep","","Commercial Velocity - New Business","26610","174.0000000000","","159660.00",""
"1/11/2021","Skylar Fragrances","Outbound","Skylar Fragrances","Q1-2021","Jeff Mason","","Rapid Growth Brands - New Business","13333","0.0000000000","","39999.00",""
"1/12/2021","Oral Genome","Inbound","Oral Genome","Q1-2021","Alex Serna","","Commercial Velocity - New Business","20065","20.0000000000","","20065.00",""
"1/13/2021","Three Ships Beauty","Channel Partner","Three Ships Beauty","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","7644","0.0000000000","","45864.00","Devin S Test Keller"
"1/14/2021","Bally","Channel Partner","Bally","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","8192","76.0000000000","","49152.00","Devin S Test Keller"
"1/14/2021","Ambreesh","Inbound","Ambreesh Cosmetics","Q1-2021","Brittany Arnold","","Commercial Velocity - New Business","8122","35.0000000000","","73095.75",""
"1/15/2021","Awkward Essentials","Outbound","Awkward Essentials","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","14237","2.0000000000","","170844.00",""
"1/18/2021","XO Group","Channel Partner","XO Group (Wedding Wire)","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","55860","31.0000000000","","55860.00",""
"1/18/2021","Rain + Bow","Outbound","Rain + Bow (Social Method)","Q1-2021","Jeff Mason","","Rapid Growth Brands - New Business","13333","0.0000000000","","39999.00",""
"1/18/2021","Meatless Farms","Outbound","Meatless Farms","Q1-2021","Connor Sanner","","Private Equity","22716","11.0000000000","","272592.00",""
"1/18/2021","R6 Distillery","Channel Partner","R6 Distillery","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","9460","27.0000000000","","56760.00",""
"1/18/2021","Savor","Inbound","Savor Beauty PR","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","7548","0.0000000000","","90576.00",""
"1/18/2021","Bellwether Coffee","Inbound","Bellwether Coffee","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","14332","84.0000000000","","171984.00",""
"1/19/2021","DuroMax Power Equipment","Channel Partner","DuroMax Video/Photo Shoot","Q1-2021","Zac Kyle","","Commercial Velocity - New Business","27631","46.0000000000","","27631.00","Amy Ogden"
"1/19/2021","Peatos - Snack It Forward","Channel Partner","Peatos - Snack It Forward - Paid Social Full Service","Q1-2021","Jake Mehani","","Commercial Velocity - New Business","8750","1.0000000000","","52500.00","Devin S Test Keller"
"1/20/2021","Osceola Capital Management LLC","Channel Partner","Revelation Pharmacy","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","4038","0.0000000000","","4038.00",""
"1/21/2021","Clarus","Inbound","Clarus","Q1-2021","Pat Kreidler","","Commercial Velocity - New Business","6688","44.0000000000","","80256.00",""
"1/21/2021","Herbaly","Channel Partner","Herbaly-","Q1-2021","Pat Kreidler","","Commercial Velocity - New Business","7355","6.0000000000","","66195.00","Devin S Test Keller"
"1/22/2021","Ship Calm","Outbound","Ship Calm-","Q1-2021","Universal Sales Rep","","Commercial Velocity - New Business","2389","14.0000000000","","14334.00",""
"1/22/2021","Deux","Inbound","Deux","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","4682","80.0000000000","","28092.00",""
"1/25/2021","Accomplishment Coaching","Inbound","Accomplishment Coaching Website Round 2","Q1-2021","Universal Sales Rep","","Commercial Velocity - New Business","34556","18.0000000000","","34556.00",""
"1/26/2021","Laura Moon Ref","Channel Partner","Alloy","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","19487","88.0000000000","","155895.92","Devin S Test Keller"
"1/26/2021","Haylie Pomroy","Channel Partner","Haylie Pomroy-","Q1-2021","Brittany Arnold","","Commercial Velocity - New Business","11944","18.0000000000","","143328.00","Devin S Test Keller"
"1/28/2021","The Jel Sert Company","Outbound","SLIQ (Marketing Retainer)","Q1-2021","Pat Kreidler","","Commercial Velocity - New Business","3894","83.0000000000","","35046.00",""
"1/28/2021","Tattooed Chef","Inbound","Tattooed Chef","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","8321","44.0000000000","","99852.00",""
"2/1/2021","GoodHire, LLC","Inbound","GoodHire","Q1-2021","Universal Sales Rep","","Commercial Velocity - New Business","41803","59.0000000000","","41803.00",""
"2/1/2021","Carbone","Outbound","Carbone","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","12642","90.0000000000","","75852.00",""
"2/3/2021","Hilarys Eat Well","Inbound","Hilary's Eat Well","Q1-2021","Pat Kreidler","","Commercial Velocity - New Business","4778","127.0000000000","","28665.00",""
"2/3/2021","Twomey Cellars","Outbound","Twomey","Q1-2021","Jeff Mason","","Commercial Velocity - New Business","7405","0.0000000000","","74050.00",""
"2/3/2021","Great Lakes Orthodontics","Channel Partner","Great Lakes Dental","Q1-2021","Zac Kyle","","Commercial Velocity - New Business","17088","47.0000000000","","205050.36","Keith Jensen"
"2/5/2021","Zen Beverage LLC","Channel Partner","Muse - Website Project","Q1-2021","Pat Kreidler","","Commercial Velocity - New Business","28665","63.0000000000","","28665.00",""
"2/5/2021","Soapy Joe's, Inc.","Channel Partner","Soapy Joe's - PDM","Q1-2021","Pat Kreidler","","Commercial Velocity - New Business","7644","52.0000000000","","91728.00","Covet PR"
"2/9/2021","Brightfin","Channel Partner","Brightfin","Q1-2021","Mike Iaco","","CV Strategic","24010","0.0000000000","","24010.00","Devin S Test Keller"
